Type,Header Table,Data Table
ACTUATOR_SENSOR_INTERFACE_DEVICE_TYPE,,
ALARM_ANNUNCIATION,,No
AREA_CONTROL_NETWORK,Combiend,No
ATTRIBUTE_SECURITY,Combiend,
AUTO_COMMISSIONING_POLICY,Combiend,No
BATCH_EQUIPMENT_PHASE_CLASS,Combiend,
BATCH_EQUIPMENT_PROCESS_CELL,,
BATCH_EQUIPMENT_PROCESS_CELL_CLASS,,No
BATCH_EQUIPMENT_UNIT_MODULE,,
BATCH_EQUIPMENT_UNIT_MODULE_CLASS,,
BATCH_SERVER,Combiend,No
CHARM,,
CHARM_IO_SERVER_NODE,,
CHARM_TYPE_DEFINITION,,
CHARMS_LOGIC_SOLVER,,
CHARMS_LOGICSOLVER_INSTALLATION_RECORDS,,
CONTROLLER_NODE,,
DEFAULT_SECURITY,Combiend,No
DEVICE_MANUFACTURER,,No
DEVICE_TAG_EXTRACTION_POLICY,,No
DEVICENET_DEVICE_REVISION,,
DEVICENET_USER_DEVICE_TYPE,,No
DOMAINS,Combiend,No
ELECTRONIC_SIGNATURE_POLICY,,
ELECTRONIC_SIGNATURES,Combiend,No
ENGINEERING_UNITS,Combiend,
ENUMERATION_SET,,
ENUMERATION_SET_ID,,No
ETHERNET_IO_CONTROL_TAG_DEFINITION,,No
FIELD_SECURITY,Combiend,
FIELDBUS_DEVICE_DEFINITION_REVISION,,
FIELDBUS_DEVICE_REVISION_CONTAINER,,No
FIELDBUS_DEVICE_TYPE,,No
FIELDBUS_IO_CARD,,
FIELDBUS_PHYSICAL_DEVICE,,
FIELDBUS_PORT_DEVICE_REVISION,,
FUNCTION_BLOCK_DEFINITION,,
FUNCTION_BLOCK_TEMPLATE,,No
GROUP,,
HART_DEVICE_DEFINITION_REVISION,,
HART_DEVICE_REVISION_CONTAINER,,No
HART_DEVICE_TYPE,,No
INTEGRATION_NODE,,
LOCALE,Combiend,No
LOCK,,No
LOGIC_SOLVER,,
LOGIC_SOLVER_CARD,,No
LOGICSOLVER_INSTALLATION_RECORDS,,
MODULE,,
MODULE_CLASS,,
MODULE_INSTANCE,,
NODE_INSTALLATION_RECORDS,,
NODE_TYPE,,
OPERATION_SECURITY,Combiend,
OPERATOR_NODE,,
PK_CONTROLLER_NODE,,
PLANT_AREA,,No
PROCESS_CELL,,No
PROCESS_CONTROL_NETWORK,Combiend,No
PROFESSIONAL_PLUS_NODE,Combiend,
PROFIBUS_CARD,,
PROFIBUS_DEVICE,,
PROFIBUS_DEVICE_FAMILY,,No
PROFIBUS_DEVICE_MODEL,,No
PROFIBUS_DEVICE_REVISION,Combiend,
REMOTE_IO_NETWORK,Combiend,No
SCHEMA,Combiend,No
SERIAL_IO_CARD,,
SIF_FIELD_SECURITY,,
SIF_FUNCTION_SECURITY,Combiend,
SIF_MODULE,,
SIF_PARAMETER_SECURITY,Combiend,
SIMPLE_IO_CARD,,
SIS_CHARM,,
SIS_CONTROLLER_NODE,Node?,
SIS_DEFAULT_SECURITY,Combiend,No
SIS_ENUMERATION_SET,,
SIS_ENUMERATION_SET_ID,,No
SIS_FUNCTION_BLOCK_DEFINITION,,
SIS_LOCK,,No
SIS_SYSTEM_ALARM,,No
SIS_SYSTEM_ENUMERATION_SET,,
SIS_USER_ALARM_INDEXED,,No
SISNET_DOMAIN,Combiend,No
SITE,Combiend,No
SLS_NETWORK,Combiend,No
SNAPSHOT_VCR,,No
SOFTWARE_LICENSE_BUNDLE,,
SYSTEM_ALARM,,No
SYSTEM_BATCH_UNIT_SELECTION_POLICY,,No
SYSTEM_ENUMERATION_SET,,
UNALLOCATED_DEVICE,,
USER,,
USER_ALARM_INDEXED,,No
WIRELESS_GATEWAY_NETWORK,Combiend,No
WIRELESS_GATEWAY_NODE,,
